GO:0006511;GO:0019941;GO:0043632;GO:0051603	GO:0006974;GO:0033554;GO:0006950;GO:0051716	GO:0034404	GO:0051235	GO:0007186	GO:0050896	GO:0090407	GO:0010639;GO:0051129	GO:0006879;GO:0046916;GO:0006875	GO:0023052	GO:0030003;GO:0006873;GO:0055082	GO:0006744;GO:0006743;GO:1901663;GO:1901661;GO:0042181	GO:0006575	GO:0051172	GO:0006302	GO:0006325	GO:0006412;GO:0043043;GO:0043604	GO:0006487	GO:0022607	GO:0009206;GO:0009145;GO:0009201;GO:0009205;GO:0009142;GO:0009144;GO:0009199	GO:0034613;GO:0070727	GO:0022618;GO:0071826	GO:0008610	GO:0030258	GO:0046034	GO:0016192	GO:0042180	GO:1903047	GO:0051640	GO:0006812	GO:0001510	GO:0007005	GO:0001932;GO:0042325	GO:0006400	GO:0030163	GO:0006260	GO:0070646	GO:0010564	GO:0000956;GO:0006402;GO:0006401	GO:0042981;GO:0043067;GO:0010941	GO:0015074	GO:0031399;GO:0019220;GO:0051174	GO:0010468	GO:0046394;GO:0016053	GO:0009966;GO:0010646;GO:0023051;GO:0048583	GO:0048523	GO:0032502	GO:0070647	GO:0006310	GO:0006605	GO:0046395;GO:0016054;GO:0009063	GO:0009968;GO:0010648;GO:0023057;GO:0048585	GO:0007034	GO:0018130;GO:1901362	GO:0043414;GO:0032259	GO:0016043;GO:0071840	GO:0032787	GO:0090150	GO:0048519	GO:2000112;GO:0010556;GO:0031326;GO:0009889	GO:0008033;GO:0006399	GO:0031324	GO:0006355;GO:1903506;GO:2001141;GO:0051252;GO:0019219	GO:0034654;GO:0019438	GO:0008299;GO:0006720	GO:0008218	GO:0007166	GO:0000902	GO:0051049	GO:0007017	GO:0044282	GO:0007049	GO:0098656	GO:0009653	GO:0007062	GO:0006520	GO:0008652;GO:1901607	GO:0019439;GO:0044270;GO:0046700;GO:1901361	GO:0048869	GO:0048522;GO:0048518	GO:0046488	GO:0051493	GO:0010605;GO:0009892	GO:0000398;GO:0000377;GO:0000375;GO:0008380	GO:0015672	GO:0032501	GO:1901987	GO:0006508	GO:0006644	GO:0031323;GO:0051171;GO:0080090	GO:0033043;GO:0051128	GO:0006629	GO:0046474;GO:0045017	GO:0032886	GO:0044283	GO:0032268;GO:0051246	GO:0006813	GO:0030001	GO:0009116;GO:1901657	GO:0006650;GO:0046486	GO:0055114	GO:0034655	GO:0018205	GO:0006518;GO:0043603	GO:0016311	GO:0010604;GO:0009893;GO:0031325;GO:0051173	GO:0009059	GO:0045786;GO:0000075	GO:0034645	GO:0006351;GO:0097659	GO:1902600;GO:0098662;GO:0098655;GO:0098660	GO:0009141	GO:0055072;GO:0055076;GO:0055065	GO:0034220;GO:0055085	GO:0035556	GO:0033108;GO:0017004	GO:1901605	GO:0007155;GO:0022610	GO:0051604	GO:0032879	GO:0000723;GO:0032200;GO:0060249	GO:0006790	GO:0019725	GO:0006281	GO:0044087;GO:0030833;GO:0008064;GO:0032271;GO:1902903;GO:0030832;GO:0110053;GO:0043254;GO:0032535;GO:0032956;GO:0090066;GO:0032970	GO:0006366	GO:0007154	GO:0006839	GO:0006796;GO:0019637;GO:0006793	GO:0048193	GO:0000413;GO:0018208	GO:0006397	GO:0000278	GO:0046907;GO:0051641;GO:0051649	GO:0006996	GO:0022414	GO:0006811	GO:0008654	GO:1902531	GO:0065008	GO:0044265;GO:0009057	GO:0005975	GO:0009451	GO:0048856	GO:0051225	GO:0071702;GO:0071705;GO:0006820	GO:0034470;GO:0034660	GO:1901135	GO:2000113;GO:0010558;GO:0031327;GO:0009890	GO:0006464;GO:0036211	GO:0072594;GO:0033365	GO:1901575;GO:0044248;GO:0009056	GO:0010628;GO:0010557;GO:0031328;GO:0009891	GO:1901137	GO:0007165	GO:0006364;GO:0016072	GO:0044255	GO:0007018;GO:0006928	GO:0051276	GO:0055086	GO:0016567;GO:0032446	GO:0042221	GO:0072657	GO:0061024	GO:0016071	GO:0000226	GO:0022613;GO:0044085	GO:0005996	GO:0006753	GO:0006417;GO:0010608;GO:0034248	GO:0045892;GO:1903507;GO:1902679;GO:0051253;GO:0045934	GO:0051726	GO:1901566	GO:0006368;GO:0006354	GO:0001522	GO:0018193	GO:0048878;GO:0055080;GO:0098771;GO:0050801	GO:0019752;GO:0043436;GO:0006082	GO:1901565	GO:0042592	GO:0007059	GO:0070925	GO:0006457	GO:0016579	GO:0015031;GO:0045184;GO:0008104;GO:0033036;GO:0015833;GO:0042886	GO:0006886	GO:0022402	GO:0043066;GO:0043069;GO:0060548	GO:0006099	GO:0006352	GO:0000077;GO:0031570	GO:0007275	GO:0007051	GO:0009165;GO:0009117;GO:1901293	GO:0006506;GO:0006497;GO:0006505;GO:0006661;GO:0009247;GO:0006664;GO:0046467;GO:0006643;GO:1903509	GO:0032774	GO:0010629	GO:0009152;GO:0006164;GO:0009150;GO:0009260;GO:0006163;GO:0009259;GO:0072521;GO:0019693;GO:0072522;GO:0046390	GO:0006486;GO:0043413;GO:0070085	GO:0044281	GO:0007010	GO:0007267	GO:0006396	GO:0006259	GO:0050790;GO:0065009	GO:0051336	GO:0060255;GO:0019222	GO:0097435	GO:0006869	GO:0006357	GO:0000387	GO:0034622;GO:0065003;GO:0043933	GO:0044271
1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.800	1.000	1.000	1.000	0.778	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.833	1.000	1.000	1.000	0.000	1.000	1.000	0.833	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.938	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0	0.875	1.000	1.000	1.000	0.938	0.938	1.000	0.938	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.938	1.000	1.000	1.000	1.000	0.938	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.800	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.250	1.000	1.000	1.000	0.938	1.000	1.000	0.875	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.938	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.875	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.938	1.000	1.000	0.875	1.000	1.000	1.000	0.938	1.000	1.000	1.000	1.000	1.000	1.000
1.000	0.973	1.000	0.500	1.000	0.978	1.000	0.200	1.000	1.000	1.000	1.000	1.000	0.900	1.000	0.000	1.000	1.000	0.000	1.000	0.846	0.000	1.000	1.000	1.000	1.000	1.000	0.333	0.857	1.000	1.000	0.000	1.000	1.000	1.000	1.000	0.833	0.857	1.000	1.000	1.000	1.000	0.925	1.000	1.000	0.853	0.958	0.867	1.000	1.000	1.000	1.000	1.000	0.984	0.875	0	1.000	0.800	0.886	0.915	1.000	0.923	0.898	0.982	1.000	1.000	1.000	1.000	0.800	0.618	1.000	0.700	1.000	0.857	0.000	1.000	1.000	1.000	0.800	0.733	1.000	0.300	0.955	0.933	1.000	1.000	1.000	0.987	1.000	0.905	0.385	1.000	1.000	0.800	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.800	1.000	1.000	0.556	0.988	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	0.667	0.000	1.000	1.000	0.958	0.000	1.000	1.000	0.800	1.000	1.000	1.000	0.946	0.571	0.960	0.000	0.600	0.956	1.000	1.000	0.556	1.000	1.000	1.000	1.000	0.000	0.937	1.000	1.000	0.900	0.950	0.900	1.000	0.400	1.000	1.000	1.000	1.000	1.000	0.000	1.000	0.889	1.000	0.750	0.000	0.956	0.000	0.000	1.000	1.000	1.000	0.833	0.944	1.000	0.800	1.000	0.913	1.000	1.000	1.000	0.684	0.500	0.000	1.000	0.800	0.955	0.962	0.200	1.000	1.000	1.000	1.000	1.000	0.000	1.000	1.000	0.968	0.941	1.000	1.000	1.000	0.000	1.000	0.974	0.826	1.000	1.000	0.918	0.000	0.700	0.786	0.000	0.000	0.989
1.000	1.000	1.000	1.000	1.000	1.000	0.800	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.400	0.800	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.200	1.000	1.000	1.000	1.000	1.000	1.000	0.600	1.000	1.000	0.400	1.000	1.000	0	1.000	1.000	1.000	1.000	1.000	1.000	0.800	1.000	1.000	1.000	1.000	1.000	1.000	0.600	1.000	1.000	1.000	1.000	0.800	1.000	0.800	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.200	1.000	1.000	0.200	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.800	1.000	1.000	1.000	1.000	0.600	1.000	1.000	1.000	1.000	1.000	1.000	0.800	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.600	1.000	1.000	1.000	1.000	0.200	1.000	1.000	0.800	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.800	1.000	1.000	1.000	0.800	1.000	1.000	1.000	1.000	0.000	0.800	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.800	1.000	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.800
1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.800	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.200	1.000	1.000	1.000	1.000	1.000	0.800	1.000	0	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.800	1.000	1.000	1.000	1.000	1.000	0.000	0.800	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	0.800	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
1.000	0.811	0.857	0.500	1.000	0.841	0.968	0.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	0.889	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.800	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.900	1.000	0.714	0.125	0.829	0.875	0.900	0.614	1.000	0.722	0.000	0.917	1.000	0.900	1.000	1.000	0.000	1.000	0.977	1.000	0.886	1.000	1.000	0	0.773	1.000	0.000	0.864	0.977	1.000	1.000	1.000	1.000	1.000	1.000	0.900	1.000	1.000	1.000	1.000	1.000	1.000	0.500	0.800	0.933	1.000	0.600	0.000	1.000	1.000	0.929	0.600	1.000	1.000	0.705	0.615	1.000	1.000	1.000	0.962	0.765	1.000	1.000	0.833	1.000	1.000	0.385	1.000	1.000	1.000	1.000	0.977	0.000	0.977	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.778	1.000	1.000	1.000	1.000	0.500	1.000	1.000	1.000	0.977	1.000	1.000	1.000	1.000	1.000	1.000	0.800	1.000	1.000	0.600	0.889	0.788	1.000	1.000	0.867	1.000	1.000	1.000	0.962	0.000	1.000	1.000	0.818	1.000	0.950	1.000	1.000	1.000	1.000	1.000	0.957	1.000	1.000	1.000	1.000	0.841	1.000	1.000	1.000	0.947	0.714	0.000	0.500	0.977	1.000	1.000	1.000	1.000	1.000	0.944	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.880	0.000	1.000	1.000	0.000	0.900	1.000	0.938	1.000	1.000	0.000	0.889	1.000	0.977	1.000	1.000	1.000	0.955	0.700	0.500	0.500	0.667	1.000	0.714	1.000	1.000	0.977
1.000	0.973	1.000	1.000	1.000	0.978	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.200	1.000	0.556	1.000	1.000	0.948	1.000	1.000	0.950	1.000	1.000	1.000	1.000	1.000	0.933	1.000	1.000	1.000	1.000	0.833	1.000	1.000	0.900	1.000	0.857	1.000	1.000	1.000	0.900	0.085	1.000	1.000	0.706	0.917	0.933	1.000	1.000	1.000	1.000	1.000	1.000	0.938	0.915	1.000	1.000	0.773	0	1.000	0.231	0.041	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.600	1.000	1.000	0.545	0.967	1.000	0.857	0.800	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	0.588	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.333	0.966	0.889	0.966	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.973	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.867	1.000	1.000	1.000	1.000	0.000	0.949	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.889	1.000	1.000	1.000	0.978	1.000	1.000	1.000	1.000	0.000	0.000	0.889	1.000	1.000	1.000	0.913	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.983	1.000	0.960	1.000	1.000	1.000	0.857	0.800	1.000	1.000	1.000	1.000	0.529	1.000	1.000	1.000	1.000	1.000	0.983	0.978	1.000	1.000	0.000	1.000	1.000	0.000	0.900	0.932	1.000
1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.917	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.938	1.000	1.000	1.000	1.000	1.000	0	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.850	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.700	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.850	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.850	1.000	1.000	0.150	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
1.000	0.923	1.000	1.000	1.000	0.923	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	0.889	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.923	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.900	1.000	0.857	1.000	0.846	1.000	0.900	0.385	1.000	1.000	0.000	0.923	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.923	1.000	1.000	0.000	0.231	1.000	0	0.538	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	1.000	0.923	0.800	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	0.692	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.923	0.889	0.923	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.923	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.714	0.000	0.923	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.923	0.667	1.000	1.000	0.857	0.900	1.000	1.000	1.000	1.000	0.385	1.000	1.000	1.000	1.000	1.000	1.000	0.923	0.700	0.500	0.000	1.000	1.000	0.692	1.000	1.000	1.000
1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.400	1.000	0.556	1.000	1.000	0.939	1.000	1.000	0.950	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	1.000	0.824	0.958	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.938	0.898	1.000	1.000	0.864	0.041	1.000	0.538	0	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.733	1.000	1.000	0.727	0.967	1.000	0.929	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.556	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.973	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.933	1.000	1.000	1.000	1.000	0.400	0.980	1.000	1.000	0.200	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.978	1.000	1.000	1.000	1.000	1.000	0.000	0.944	1.000	1.000	1.000	0.957	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.980	1.000	1.000	1.000	1.000	1.000	1.000	0.900	1.000	1.000	1.000	1.000	0.647	1.000	1.000	1.000	1.000	1.000	0.980	1.000	1.000	1.000	0.000	1.000	1.000	0.000	0.900	0.932	1.000
1.000	1.000	0.000	1.000	1.000	1.000	0.452	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.889	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	0.200	1.000	1.000	1.000	1.000	0.852	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.909	0.944	0.971	0.958	1.000	1.000	1.000	0.857	0.800	1.000	0.000	1.000	0.982	0.800	1.000	0.977	1.000	1.000	1.000	1.000	0	1.000	1.000	1.000	1.000	1.000	1.000	0.800	1.000	1.000	1.000	1.000	0.958	1.000	0.625	1.000	1.000	1.000	1.000	1.000	1.000	0.667	0.929	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.615	1.000	1.000	1.000	0.500	1.000	1.000	0.615	1.000	1.000	1.000	1.000	0.411	1.000	0.679	0.000	0.429	0.000	1.000	0.733	0.976	1.000	0.900	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	1.000	0.583	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.929	1.000	1.000	0.972	1.000	1.000	1.000	0.933	1.000	1.000	1.000	0.538	1.000	0.982	1.000	0.889	1.000	0.400	0.982	1.000	1.000	1.000	1.000	0.130	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	0.714	0.000	1.000	1.000	1.000	0.969	0.833	0.947	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	0.900	1.000	0.000	1.000	0.000	1.000	0.000	1.000	0.625	1.000	1.000	1.000	0.913	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000
1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
1.000	0.714	1.000	1.000	1.000	0.714	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.714	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.714	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.857	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.857	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.857	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
